# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Feb 21 20:01:49 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) exponential 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.000156 -1.99852 10.11394 0.7767628431 2.3883912563    0.775  0.956  3.7390  3.279    3  0.000  0.537     0.00     0.00 -1 -2.93e-12      0.00 7.680e-01 2.319e-01 2.730e-05 7.463e-06 6.784e-05 -1.000 1.362e-04 2.379 3.489 2.790 2.348 2.202 2.148 2.136
0.000156 -1.99852 10.11394 0.7771399617 2.3885324001    0.775  1.001  3.7374  3.228    3  0.000  0.537     0.00     0.00 -1 -3.44e-12      0.00 7.662e-01 2.336e-01 2.743e-05 7.496e-06 6.813e-05 -1.000 1.634e-04 2.268 3.390 2.684 2.238 2.089 2.033 2.021
0.000156 -1.99852 10.11394 0.7775408030 2.3886821270    0.775  1.051  3.7357  3.171    3  0.000  0.537     0.00     0.00 -1 -4.13e-12      0.00 7.645e-01 2.353e-01 2.754e-05 7.527e-06 6.841e-05 -1.000 1.642e-04 2.142 3.277 2.564 2.113 1.961 1.903 1.890
0.000156 -1.99852 10.11394 0.7778772116 2.3888075352    0.776  1.097  3.7342  3.120    3  0.000  0.537     0.00     0.00 -1 -4.86e-12      0.00 7.631e-01 2.368e-01 2.762e-05 7.550e-06 6.861e-05 -1.000 1.642e-04 2.028 3.175 2.456 2.000 1.846 1.787 1.772
0.000156 -1.99852 10.11394 0.7782174945 2.3889343739    0.776  1.146  3.7327  3.065    3  0.000  0.537     0.00     0.00 -1  -5.8e-12      0.00 7.617e-01 2.381e-01 2.769e-05 7.570e-06 6.878e-05 -1.000 1.537e-04 1.905 3.062 2.337 1.877 1.720 1.660 1.644
0.000156 -1.99852 10.11394 0.7785513997 2.3890588284    0.776  1.199  3.7312  3.005    3  0.000  0.537     0.00     0.00 -1 -7.01e-12      0.00 7.604e-01 2.394e-01 2.774e-05 7.589e-06 6.894e-05 -1.000 1.561e-04 1.772 2.942 2.211 1.745 1.587 1.524 1.508
0.000156 -1.99852 10.11394 0.7788208723 2.3891592026    0.776  1.246  3.7297  2.953    3  0.000  0.536     0.00     0.00 -1  -8.3e-12      0.00 7.594e-01 2.405e-01 2.777e-05 7.604e-06 6.905e-05 -1.000 1.630e-04 1.655 2.836 2.099 1.629 1.468 1.404 1.387
0.000156 -1.99852 10.11394 0.7790808678 2.3892557621    0.776  1.295  3.7283  2.898    3  0.000  0.536     0.00     0.00 -1 -9.89e-12      0.00 7.584e-01 2.414e-01 2.779e-05 7.620e-06 6.914e-05 -1.000 1.642e-04 1.533 2.725 1.981 1.507 1.344 1.278 1.260
0.000156 -1.99852 10.11394 0.7793143988 2.3893425465    0.776  1.343  3.7268  2.844    3  0.000  0.535     0.00     0.00 -1 -1.18e-11      0.00 7.576e-01 2.422e-01 2.778e-05 7.638e-06 6.921e-05 -1.000 1.615e-04 1.413 2.617 1.866 1.388 1.222 1.154 1.136
0.000156 -1.99852 10.11394 0.7795260549 2.3894212246    0.777  1.391  3.7253  2.791    3  0.000  0.535     0.00     0.00 -1  -1.4e-11      0.00 7.569e-01 2.430e-01 2.777e-05 7.657e-06 6.927e-05 -1.000 1.491e-04 1.294 2.510 1.753 1.269 1.102 1.032 1.013
